,name,forward [log2(rna/dna)],reverse [log2(rna/dna)],chr.hg38,start.hg38,stop.hg38
2958,ENSG00000129295,0.295,0.359,8,132675484.0,132675684.0
2960,ENSG00000129317,1.739,0.745,12,43758727.0,43758927.0
2962,ENSG00000129351,2.541,2.385,19,10654197.0,10654397.0
2964,ENSG00000129437,-1.062,-1.683,19,51084090.0,51084290.0
2966,ENSG00000129455,-1.569,-0.818,19,51001503.0,51001703.0
2968,ENSG00000129460,2.079,3.417,14,23469598.0,23469798.0
2970,ENSG00000129467,-1.812,-0.86,14,24334599.0,24334799.0
2972,ENSG00000129472,-0.94,-1.183,14,21476785.0,21476985.0
2974,ENSG00000129521,-1.416,-1.156,14,33950909.0,33951109.0
2976,ENSG00000129636,1.186,1.566,16,47460974.0,47461174.0
2978,ENSG00000129654,-1.301,-0.16,17,76141249.0,76141449.0
2980,ENSG00000129744,0.159,-1.24,11,3645018.0,3645218.0
2982,ENSG00000129932,-0.341,-0.782,19,3500523.0,3500723.0
2984,ENSG00000129988,-1.09,-1.346,20,38346381.0,38346581.0
2986,ENSG00000129993,-1.247,-1.913,16,88902360.0,88902560.0
2988,ENSG00000130038,-0.412,-1.791,12,3753003.0,3753203.0
2990,ENSG00000130045,0.169,-0.052,9,88535078.0,88535278.0
2992,ENSG00000130150,0.593,-1.613,X,14873335.0,14873535.0
2994,ENSG00000130159,1.268,1.825,19,11529002.0,11529202.0
2996,ENSG00000130164,3.161,2.247,19,11089294.0,11089494.0
2998,ENSG00000130173,-1.474,-1.258,19,11239454.0,11239654.0
3000,ENSG00000130175,1.843,0.884,19,11435543.0,11435743.0
3002,ENSG00000130176,0.218,-0.119,19,11538665.0,11538865.0
3004,ENSG00000130182,-1.8,-1.523,16,3092716.0,3092916.0
3006,ENSG00000130201,-1.293,-1.336,19,45231766.0,45231966.0
3008,ENSG00000130222,-0.567,-0.099,9,89604911.0,89605111.0
3010,ENSG00000130244,-0.767,1.319,19,38403035.0,38403235.0
3012,ENSG00000130254,3.017,0.741,19,5622685.0,5622885.0
3014,ENSG00000130305,1.272,1.509,7,73308763.0,73308963.0
3016,ENSG00000130307,-0.251,-0.061,19,17264623.0,17264823.0
3018,ENSG00000130312,0.336,-0.724,19,17305753.0,17305953.0
3020,ENSG00000130313,0.794,1.928,19,17511539.0,17511739.0
3022,ENSG00000130338,-1.22,-1.814,6,158313046.0,158313246.0
3024,ENSG00000130383,-0.56,-1.479,19,5867633.0,5867833.0
3026,ENSG00000130427,-1.056,-0.926,7,100720789.0,100720989.0
3028,ENSG00000130489,1.727,0.947,22,50525601.0,50525801.0
3030,ENSG00000130513,0.086,0.968,19,18386020.0,18386220.0
3032,ENSG00000130529,1.713,2.602,19,49157673.0,49157873.0
3034,ENSG00000130559,-1.506,-0.91,9,135882756.0,135882956.0
3036,ENSG00000130592,-1.164,-0.962,11,1876480.0,1876680.0
3038,ENSG00000130595,-1.27,-1.024,11,1919460.0,1919660.0
3040,ENSG00000130638,1.528,1.927,22,45671758.0,45671958.0
3042,ENSG00000130720,-0.773,-1.043,9,130936193.0,130936393.0
3044,ENSG00000130726,3.434,1.456,19,58544357.0,58544557.0
3046,ENSG00000130741,-1.65,-0.974,X,24054670.0,24054870.0
3048,ENSG00000130748,1.506,0.886,19,47048514.0,47048714.0
3050,ENSG00000130755,0.216,-0.376,19,39336030.0,39336230.0
3052,ENSG00000130764,2.524,2.093,1,3796466.0,3796666.0
3054,ENSG00000130818,2.172,2.083,19,9538584.0,9538784.0
3056,ENSG00000130826,1.723,1.493,X,154762639.0,154762839.0
3058,ENSG00000130921,0.787,0.842,12,123232813.0,123233013.0
3060,ENSG00000130950,-0.925,-1.357,9,94328533.0,94328733.0
3062,ENSG00000130985,3.363,1.213,X,47193641.0,47193841.0
3064,ENSG00000130988,-1.157,-1.647,X,47078258.0,47078458.0
3066,ENSG00000131042,-0.945,-1.635,19,54280415.0,54280615.0
3068,ENSG00000131044,-1.649,-2.016,20,31870725.0,31870925.0
3070,ENSG00000131050,-1.524,-0.461,20,33161675.0,33161875.0
3072,ENSG00000131051,0.224,-1.458,20,35742140.0,35742340.0
3074,ENSG00000131055,-2.892,-2.543,20,31637788.0,31637988.0
3076,ENSG00000131061,0.294,-0.154,20,33731914.0,33732114.0
3078,ENSG00000131067,1.228,0.783,20,34872847.0,34873047.0
3080,ENSG00000131100,-0.194,0.268,22,17628618.0,17628818.0
3082,ENSG00000131127,1.018,0.205,4,337707.0,337907.0
3084,ENSG00000131142,-1.192,-0.93,19,8052660.0,8052860.0
3086,ENSG00000131148,-0.281,0.409,16,85799390.0,85799590.0
3088,ENSG00000131153,0.011,-1.125,16,85688817.0,85689017.0
3090,ENSG00000131174,1.466,1.45,X,77899385.0,77899585.0
3092,ENSG00000131236,-0.768,-1.874,1,40040138.0,40040338.0
3094,ENSG00000131238,1.671,1.409,1,40097158.0,40097358.0
3096,ENSG00000131378,-0.564,0.908,3,16482760.0,16482960.0
3098,ENSG00000131409,-2.338,-1.852,19,50550860.0,50551060.0
3100,ENSG00000131437,0.143,0.597,5,132737400.0,132737600.0
3102,ENSG00000131446,-2.115,-0.183,5,180808730.0,180808930.0
3104,ENSG00000131462,-0.472,0.395,17,42609586.0,42609786.0
3106,ENSG00000131469,1.846,1.478,17,42998193.0,42998393.0
3108,ENSG00000131475,2.225,1.031,17,42773302.0,42773502.0
3110,ENSG00000131480,-1.579,-1.388,17,42844512.0,42844712.0
3112,ENSG00000131626,2.308,1.919,11,70270484.0,70270684.0
3114,ENSG00000131650,0.925,1.084,16,2964059.0,2964259.0
3116,ENSG00000131668,-1.149,-1.358,9,93953089.0,93953289.0
3118,ENSG00000131730,0.461,0.161,5,81233141.0,81233341.0
3120,ENSG00000131738,-0.816,-1.732,17,41369675.0,41369875.0
3122,ENSG00000131759,2.573,1.578,17,40318078.0,40318278.0
3124,ENSG00000131788,0.213,-0.65,1,145859650.0,145859850.0
3126,ENSG00000131791,-0.369,0.397,1,147172451.0,147172651.0
3128,ENSG00000131844,0.445,1.083,5,71587153.0,71587353.0
3130,ENSG00000131845,2.504,1.953,19,57351092.0,57351292.0
3132,ENSG00000131849,2.185,0.236,19,58440050.0,58440250.0
3134,ENSG00000131931,-0.681,-0.823,8,42842973.0,42843173.0
3136,ENSG00000131981,-1.714,-0.532,14,55128956.0,55129156.0
3138,ENSG00000132004,0.573,1.712,19,12696576.0,12696776.0
3140,ENSG00000132128,-0.206,-0.072,1,46303218.0,46303418.0
3142,ENSG00000132207,-1.647,-1.518,16,30193893.0,30194093.0
3144,ENSG00000132256,1.348,0.003,11,5684980.0,5685180.0
3146,ENSG00000132305,1.938,1.141,2,86195335.0,86195535.0
3148,ENSG00000132432,1.715,1.135,7,54759081.0,54759281.0
3150,ENSG00000132463,1.884,1.841,4,70839813.0,70840013.0
3152,ENSG00000132471,1.847,1.932,17,75855222.0,75855422.0
3154,ENSG00000132475,1.125,-0.2,17,75779677.0,75779877.0
3156,ENSG00000132478,2.314,1.352,17,75784599.0,75784799.0
3158,ENSG00000132485,-0.779,-1.242,1,71080927.0,71081127.0
3160,ENSG00000132507,1.931,2.205,17,7307437.0,7307637.0
3162,ENSG00000132535,-1.301,-0.903,17,7204202.0,7204402.0
3164,ENSG00000132541,1.817,1.597,8,98117112.0,98117312.0
3166,ENSG00000132561,-0.285,-1.466,8,97887852.0,97888052.0
3168,ENSG00000132570,-1.542,-2.423,5,134904920.0,134905120.0
3170,ENSG00000132603,-1.509,-2.517,16,69339344.0,69339544.0
3172,ENSG00000132623,0.355,0.825,20,10034942.0,10035142.0
3174,ENSG00000132640,2.012,1.464,20,11890652.0,11890852.0
3176,ENSG00000132664,1.26,1.881,20,18467313.0,18467513.0
3178,ENSG00000132670,2.208,1.66,20,2873334.0,2873534.0
3180,ENSG00000132676,0.867,0.326,1,155688959.0,155689159.0
3182,ENSG00000132677,0.821,0.507,1,156369099.0,156369299.0
3184,ENSG00000132698,0.376,0.804,1,156061069.0,156061269.0
3186,ENSG00000132716,2.792,2.582,1,160262460.0,160262660.0
3188,ENSG00000132744,-1.967,-2.121,11,67650558.0,67650758.0
3190,ENSG00000132746,-2.193,-1.826,11,67667853.0,67668053.0
3192,ENSG00000132780,1.021,0.209,1,45583868.0,45584068.0
3194,ENSG00000132792,3.15,2.167,20,37693858.0,37694058.0
3196,ENSG00000132793,-2.618,-1.81,20,41340817.0,41341017.0
3198,ENSG00000133026,1.092,0.83,17,8630625.0,8630825.0
3200,ENSG00000133027,-1.666,-1.575,17,17591509.0,17591709.0
3202,ENSG00000133028,2.204,1.672,17,10697513.0,10697713.0
3204,ENSG00000133056,-1.919,-1.226,1,204494459.0,204494659.0
3206,ENSG00000133059,-0.466,-0.236,1,205211454.0,205211654.0
3208,ENSG00000133111,1.275,1.298,13,36819073.0,36819273.0
3210,ENSG00000133131,-1.588,-1.561,X,106999930.0,107000130.0
3212,ENSG00000133134,0.639,0.093,X,103310865.0,103311065.0
3214,ENSG00000133135,1.219,-0.068,X,106726550.0,106726750.0
3216,ENSG00000133138,0.677,2.047,X,106802540.0,106802740.0
3218,ENSG00000133142,-0.35,-0.696,X,103585412.0,103585612.0
3220,ENSG00000133169,-0.5,-1.189,X,103064132.0,103064332.0
3222,ENSG00000133195,-1.346,-1.375,17,73092536.0,73092736.0
3224,ENSG00000133226,-0.178,0.33,1,24642919.0,24643119.0
3226,ENSG00000133250,2.948,1.587,19,8514116.0,8514316.0
3228,ENSG00000133265,2.471,0.949,19,55280092.0,55280292.0
3230,ENSG00000133313,2.536,2.529,18,74496075.0,74496275.0
3232,ENSG00000133317,-0.506,-0.906,11,63506013.0,63506213.0
3234,ENSG00000133321,-1.518,-1.153,11,63536808.0,63537008.0
3236,ENSG00000133393,1.24,1.48,16,15888500.0,15888700.0
3238,ENSG00000133454,-0.968,-0.644,22,25742074.0,25742274.0
3240,ENSG00000133606,0.541,0.467,7,140479370.0,140479570.0
3242,ENSG00000133706,-1.363,-2.597,5,146182421.0,146182621.0
3244,ENSG00000133789,1.475,0.548,11,9663883.0,9664083.0
3246,ENSG00000133800,-1.439,-3.38,11,10568476.0,10568676.0
3248,ENSG00000133805,-1.661,-0.583,11,10455262.0,10455462.0
3250,ENSG00000133835,1.531,1.259,5,119452365.0,119452565.0
3252,ENSG00000133872,-0.258,-1.894,8,30082864.0,30083064.0
3254,ENSG00000133878,-1.8,-3.883,8,33597605.0,33597805.0
3256,ENSG00000133884,1.218,1.718,11,65333689.0,65333889.0
3258,ENSG00000133895,1.866,0.917,11,64810454.0,64810654.0
3260,ENSG00000133935,-0.862,-2.012,14,75660701.0,75660901.0
3262,ENSG00000133937,-0.29,0.502,14,94770015.0,94770215.0
3264,ENSG00000133980,-0.624,0.56,14,74303022.0,74303222.0
3266,ENSG00000134001,1.356,1.905,14,67359823.0,67360023.0
3268,ENSG00000134013,0.098,-0.459,8,23404020.0,23404220.0
3270,ENSG00000134020,-1.141,-1.638,8,22927749.0,22927949.0
3272,ENSG00000134057,2.348,0.878,5,69166903.0,69167103.0
3274,ENSG00000134077,-0.521,0.392,3,9362896.0,9363096.0
3276,ENSG00000134107,-0.794,-1.299,3,4979155.0,4979355.0
3278,ENSG00000134146,-0.249,-0.802,15,35545989.0,35546189.0
3280,ENSG00000134153,1.905,1.763,15,34101763.0,34101963.0
3282,ENSG00000134186,2.234,1.921,1,108692208.0,108692408.0
3284,ENSG00000134202,-1.426,-0.841,1,109740248.0,109740448.0
3286,ENSG00000134222,0.137,-0.593,1,109283010.0,109283210.0
3288,ENSG00000134247,0.224,0.461,1,116909986.0,116910186.0
3290,ENSG00000134249,-0.597,-0.274,1,119896395.0,119896595.0
3292,ENSG00000134258,1.01,-1.525,1,117173146.0,117173346.0
3294,ENSG00000134259,0.418,0.698,1,115338143.0,115338343.0
3296,ENSG00000134265,1.452,2.092,18,10525863.0,10526063.0
3298,ENSG00000134291,0.973,-0.533,12,47963437.0,47963637.0
3300,ENSG00000134294,1.4,1.482,12,46372737.0,46372937.0
3302,ENSG00000134308,0.155,0.405,2,9630893.0,9631093.0
3304,ENSG00000134333,1.011,-0.849,11,18394463.0,18394663.0
3306,ENSG00000134339,-0.442,-1.392,11,18247915.0,18248115.0
3308,ENSG00000134371,2.074,0.554,1,193121860.0,193122060.0
3310,ENSG00000134375,1.382,0.503,1,201955302.0,201955502.0
3312,ENSG00000134419,4.126,1.755,16,18790202.0,18790402.0
3314,ENSG00000134460,-0.786,-1.538,10,6062207.0,6062407.0
3316,ENSG00000134516,-1.035,0.101,5,169637170.0,169637370.0
3318,ENSG00000134539,-2.021,-0.976,12,10226045.0,10226245.0
3320,ENSG00000134571,-1.773,-0.743,11,47352601.0,47352801.0
3322,ENSG00000134595,-1.398,-0.777,X,140504966.0,140505166.0
3324,ENSG00000134602,1.686,0.652,X,132023152.0,132023352.0
3326,ENSG00000134644,0.989,-0.359,1,31065693.0,31065893.0
3328,ENSG00000134690,2.488,1.583,1,37692308.0,37692508.0
3330,ENSG00000134697,-0.723,-1.305,1,37595771.0,37595971.0
3332,ENSG00000134716,0.151,-1.058,1,59926652.0,59926852.0
3334,ENSG00000134755,-1.094,-0.852,18,31101891.0,31102091.0
3336,ENSG00000134758,1.907,2.023,18,32092457.0,32092657.0
3338,ENSG00000134762,-1.858,-1.565,18,31042621.0,31042821.0
3340,ENSG00000134765,-0.759,-1.471,18,31162611.0,31162811.0
3342,ENSG00000134780,1.858,-0.112,11,61680278.0,61680478.0
3344,ENSG00000134802,-0.689,-1.455,11,57427311.0,57427511.0
3346,ENSG00000134812,-1.518,-1.381,11,59845408.0,59845608.0
3348,ENSG00000134882,2.324,2.139,13,99200656.0,99200856.0
3350,ENSG00000134905,0.06,1.715,13,110706009.0,110706209.0
3352,ENSG00000134910,0.476,1.325,11,125592751.0,125592951.0
3354,ENSG00000134940,-1.043,-1.225,11,125680746.0,125680946.0
3356,ENSG00000134987,2.327,1.685,5,111092192.0,111092392.0
3358,ENSG00000135070,-0.432,-0.31,9,86282394.0,86282594.0
3360,ENSG00000135074,-0.759,-1.084,5,157575652.0,157575852.0
3362,ENSG00000135093,1.862,0.289,12,109052385.0,109052585.0
3364,ENSG00000135108,2.791,1.935,12,117190425.0,117190625.0
3366,ENSG00000135148,1.686,0.853,12,112125376.0,112125576.0
3368,ENSG00000135185,-0.114,-0.373,7,87220544.0,87220744.0
3370,ENSG00000135211,0.121,0.505,7,77798304.0,77798504.0
3372,ENSG00000135249,2.274,0.939,7,105532043.0,105532243.0
3374,ENSG00000135334,-1.841,-1.094,6,87701676.0,87701876.0
3376,ENSG00000135338,-0.933,-1.6,6,79537256.0,79537456.0
3378,ENSG00000135341,-1.108,-1.682,6,90586895.0,90587095.0
3380,ENSG00000135365,-0.781,-0.525,11,46120889.0,46121089.0
3382,ENSG00000135378,-0.754,-0.528,11,32829845.0,32830045.0
3384,ENSG00000135407,-2.17,-1.666,12,57816155.0,57816355.0
3386,ENSG00000135423,-0.311,-0.505,12,56488076.0,56488276.0
3388,ENSG00000135439,-1.278,-0.361,12,57742011.0,57742211.0
3390,ENSG00000135441,0.322,1.598,12,55715936.0,55716136.0
3392,ENSG00000135476,0.486,0.635,12,53268205.0,53268405.0
3394,ENSG00000135480,-1.269,-2.042,12,52233144.0,52233344.0
3396,ENSG00000135506,2.049,1.962,12,57694002.0,57694202.0
3398,ENSG00000135517,-1.087,-0.801,12,56454527.0,56454727.0
3400,ENSG00000135535,0.227,-0.871,6,109382307.0,109382507.0
3402,ENSG00000135549,1.786,2.648,6,122471765.0,122471965.0
3404,ENSG00000135577,-1.128,-1.644,6,142088628.0,142088828.0
3406,ENSG00000135604,-0.559,-1.005,6,144150514.0,144150714.0
3408,ENSG00000135617,-1.221,-1.282,2,73233141.0,73233341.0
3410,ENSG00000135632,2.005,0.876,2,73214072.0,73214272.0
3412,ENSG00000135636,0.019,-0.797,2,71466595.0,71466795.0
3414,ENSG00000135655,2.586,1.712,12,62260169.0,62260369.0
3416,ENSG00000135677,-0.92,-1.297,12,64759242.0,64759442.0
3418,ENSG00000135702,-0.925,-1.143,16,75535086.0,75535286.0
3420,ENSG00000135773,-1.128,-0.57,1,230747299.0,230747499.0
3422,ENSG00000135775,2.184,0.841,1,230642334.0,230642534.0
3424,ENSG00000135823,1.624,0.616,1,181022824.0,181023024.0
3426,ENSG00000135829,0.088,-0.305,1,182839312.0,182839512.0
3428,ENSG00000135837,1.221,0.332,1,179954679.0,179954879.0
3430,ENSG00000135845,-2.146,-1.509,1,172443929.0,172444129.0
3432,ENSG00000135870,2.581,1.476,1,174022292.0,174022492.0
3434,ENSG00000135899,-0.158,0.839,2,230219925.0,230220125.0
3436,ENSG00000135929,1.003,-0.226,2,218781657.0,218781857.0
3438,ENSG00000135930,2.555,2.383,2,232550530.0,232550730.0
3440,ENSG00000135940,1.794,2.377,2,97645867.0,97646067.0
3442,ENSG00000135953,0.593,0.319,2,102736871.0,102737071.0
3444,ENSG00000135956,-0.673,0.372,2,96265827.0,96266027.0
3446,ENSG00000135968,1.902,1.554,2,108449034.0,108449234.0
3448,ENSG00000136044,-1.09,-1.475,12,105235944.0,105236144.0
3450,ENSG00000136048,-1.75,-1.959,12,101877272.0,101877472.0
3452,ENSG00000136051,0.447,0.081,12,105107632.0,105107832.0
3454,ENSG00000136059,-1.273,-0.961,3,37988048.0,37988248.0
3456,ENSG00000136098,0.535,-1.23,13,52159492.0,52159692.0
3458,ENSG00000136104,0.493,-0.619,13,50909644.0,50909844.0
3460,ENSG00000136110,-1.792,-1.239,13,52739091.0,52739291.0
3462,ENSG00000136122,0.319,-0.482,13,72727702.0,72727902.0
3464,ENSG00000136141,0.989,0.966,13,46553072.0,46553272.0
3466,ENSG00000136146,2.348,0.59,13,48095054.0,48095254.0
3468,ENSG00000136152,0.16,-0.117,13,45464904.0,45465104.0
3470,ENSG00000136153,-1.833,-0.747,13,75760554.0,75760754.0
3472,ENSG00000136159,-0.278,-1.155,13,48037474.0,48037674.0
3474,ENSG00000136160,-0.599,1.074,13,77918700.0,77918900.0
3476,ENSG00000136243,1.646,1.738,7,23181821.0,23182021.0
3478,ENSG00000136286,-1.439,-2.397,7,44978881.0,44979081.0
3480,ENSG00000136305,-1.343,-2.107,14,24307795.0,24307995.0
3482,ENSG00000136371,0.766,1.354,15,79896918.0,79897118.0
3484,ENSG00000136436,2.118,1.025,17,48830898.0,48831098.0
3486,ENSG00000136448,2.641,1.326,17,45061214.0,45061414.0
3488,ENSG00000136457,-1.418,-1.103,17,50468778.0,50468978.0
3490,ENSG00000136504,1.489,1.97,17,49788585.0,49788785.0
3492,ENSG00000136518,1.499,1.477,3,179562722.0,179562922.0
3494,ENSG00000136527,1.438,0.845,3,185937885.0,185938085.0
3496,ENSG00000136536,1.383,0.027,2,159712309.0,159712509.0
3498,ENSG00000136574,1.011,1.053,8,11704001.0,11704201.0
3500,ENSG00000136631,-1.122,-1.229,1,150067274.0,150067474.0
3502,ENSG00000136698,-1.217,-1.132,2,130599331.0,130599531.0
3504,ENSG00000136699,1.804,1.584,2,130181597.0,130181797.0
3506,ENSG00000136758,2.536,0.789,10,27154321.0,27154521.0
3508,ENSG00000136811,2.496,2.252,9,128455961.0,128456161.0
3510,ENSG00000136816,1.94,2.432,9,129803052.0,129803252.0
3512,ENSG00000136828,2.045,1.721,9,126914621.0,126914821.0
3514,ENSG00000136859,-0.137,0.134,9,127122533.0,127122733.0
3516,ENSG00000136883,-2.025,-1.298,9,114098895.0,114099095.0
3518,ENSG00000136908,1.895,1.235,9,127937801.0,127938001.0
3520,ENSG00000136929,-1.253,-1.477,9,97938080.0,97938280.0
3522,ENSG00000136931,-0.573,-0.296,9,124507311.0,124507511.0
3524,ENSG00000136932,0.767,1.811,9,97922428.0,97922628.0
3526,ENSG00000136935,0.586,1.085,9,124940886.0,124941086.0
3528,ENSG00000136937,0.216,1.479,9,97633438.0,97633638.0
3530,ENSG00000136943,1.217,1.034,9,97039138.0,97039338.0
3532,ENSG00000136982,2.204,1.907,8,119855800.0,119856000.0
3534,ENSG00000137074,1.868,1.813,9,33001582.0,33001782.0
3536,ENSG00000137100,-0.003,0.139,9,34620463.0,34620663.0
3538,ENSG00000137101,-0.174,-1.814,9,35618292.0,35618492.0
3540,ENSG00000137154,1.474,1.693,9,19380102.0,19380302.0
3542,ENSG00000137168,0.149,0.298,6,36874744.0,36874944.0
3544,ENSG00000137207,-3.046,-1.604,6,43516706.0,43516906.0
3546,ENSG00000137225,-1.138,-1.067,6,44158718.0,44158918.0
3548,ENSG00000137269,0.542,1.156,6,53794812.0,53795012.0
3550,ENSG00000137310,-0.044,-0.102,6,31158468.0,31158668.0
3552,ENSG00000137338,0.576,1.579,6,28281433.0,28281633.0
3554,ENSG00000137393,0.68,2.122,6,18387279.0,18387479.0
3556,ENSG00000137411,1.315,2.863,6,30914143.0,30914343.0
3558,ENSG00000137500,-1.834,-1.551,11,83285570.0,83285770.0
3560,ENSG00000137504,-2.758,-2.15,11,85664887.0,85665087.0
3562,ENSG00000137509,0.678,1.08,11,82900408.0,82900608.0
3564,ENSG00000137513,-1.418,-1.365,11,78574601.0,78574801.0
3566,ENSG00000137563,1.256,1.032,8,63038751.0,63038951.0
3568,ENSG00000137571,-0.307,-0.701,8,69833213.0,69833413.0
3570,ENSG00000137574,2.439,2.306,8,55773351.0,55773551.0
3572,ENSG00000137628,-1.72,-0.609,4,168318689.0,168318889.0
3574,ENSG00000137674,-1.334,-0.821,11,102625225.0,102625425.0
3576,ENSG00000137691,-1.168,-1.341,11,102047344.0,102047544.0
3578,ENSG00000137693,-1.566,-0.768,11,102110444.0,102110644.0
3580,ENSG00000137699,-0.803,-1.04,11,120123805.0,120124005.0
3582,ENSG00000137700,-0.802,-0.502,11,119030900.0,119031100.0
3584,ENSG00000137713,1.392,0.823,11,111766277.0,111766477.0
3586,ENSG00000137714,-0.221,-0.985,11,110429886.0,110430086.0
3588,ENSG00000137731,-0.308,-1.305,11,117824605.0,117824805.0
3590,ENSG00000137745,-1.585,-1.156,11,102955632.0,102955832.0
3592,ENSG00000137760,1.986,1.587,11,107565654.0,107565854.0
3594,ENSG00000137767,-1.888,-2.021,15,45634632.0,45634832.0
3596,ENSG00000137770,2.564,-0.177,15,44427472.0,44427672.0
3598,ENSG00000137801,1.592,0.755,15,39580899.0,39581099.0
3600,ENSG00000137802,1.693,1.685,15,41774312.0,41774512.0
3602,ENSG00000137806,1.484,1.283,15,41402392.0,41402592.0
3604,ENSG00000137807,1.618,-0.027,15,69414171.0,69414371.0
3606,ENSG00000137812,-0.777,1.144,15,40593872.0,40594072.0
3608,ENSG00000137818,3.697,1.993,15,69452721.0,69452921.0
3610,ENSG00000137821,0.121,1.367,15,70892471.0,70892671.0
3612,ENSG00000137831,-1.555,-1.209,15,70763312.0,70763512.0
3614,ENSG00000137842,0.473,0.567,15,43133432.0,43133632.0
3616,ENSG00000137843,-1.416,-0.791,15,40252476.0,40252676.0
3618,ENSG00000137877,-1.44,-0.977,15,41893982.0,41894182.0
3620,ENSG00000137941,-0.603,-0.287,1,83999038.0,83999238.0
3622,ENSG00000137947,-0.185,0.361,1,88891527.0,88891727.0
3624,ENSG00000137955,3.161,2.588,1,75786065.0,75786265.0
3626,ENSG00000137960,-0.804,-1.0,1,78045880.0,78046080.0
3628,ENSG00000137992,2.082,2.041,1,100249804.0,100250004.0
3630,ENSG00000137996,1.991,1.925,1,100266094.0,100266294.0
3632,ENSG00000138035,-0.597,-0.237,2,55693805.0,55694005.0
3634,ENSG00000138039,-0.615,-1.079,2,48755591.0,48755791.0
3636,ENSG00000138068,-0.383,-0.061,2,37189813.0,37190013.0
3638,ENSG00000138071,2.538,2.088,2,65227616.0,65227816.0
3640,ENSG00000138073,1.125,1.863,2,27134492.0,27134692.0
3642,ENSG00000138109,-1.409,-0.746,10,94938576.0,94938776.0
3644,ENSG00000138119,-1.282,-1.322,10,93482124.0,93482324.0
3646,ENSG00000138135,0.093,-0.636,10,89207215.0,89207415.0
3648,ENSG00000138138,-1.202,-0.485,10,87817735.0,87817935.0
3650,ENSG00000138166,1.271,2.167,10,110497742.0,110497942.0
3652,ENSG00000138182,1.627,2.404,10,89701403.0,89701603.0
3654,ENSG00000138246,2.146,2.938,3,132417386.0,132417586.0
3656,ENSG00000138279,2.679,2.14,10,73414002.0,73414202.0
3658,ENSG00000138303,1.657,1.616,10,72216192.0,72216392.0
3660,ENSG00000138311,-1.287,-1.475,10,62374085.0,62374285.0
3662,ENSG00000138326,2.034,1.08,10,78033662.0,78033862.0
3664,ENSG00000138363,0.619,0.209,2,215311897.0,215312097.0
3666,ENSG00000138430,-0.742,-0.756,2,174248405.0,174248605.0
3668,ENSG00000138435,-2.417,-1.082,2,174764313.0,174764513.0
3670,ENSG00000138443,1.826,1.502,2,203328077.0,203328277.0
3672,ENSG00000138496,-1.678,-3.66,3,122564038.0,122564238.0
3674,ENSG00000138604,0.204,-0.329,15,69160534.0,69160734.0
3676,ENSG00000138614,1.593,1.711,15,65611035.0,65611235.0
3678,ENSG00000138621,2.411,1.547,15,75023429.0,75023629.0
3680,ENSG00000138629,1.604,2.07,15,74461149.0,74461349.0
3682,ENSG00000138639,-0.595,-0.977,4,85474997.0,85475197.0
3684,ENSG00000138658,-0.334,2.285,4,112636787.0,112636987.0
3686,ENSG00000138686,-0.475,-0.826,4,121870316.0,121870516.0
3688,ENSG00000138738,-0.77,-1.11,4,120922619.0,120922819.0
3690,ENSG00000138757,-2.394,-0.356,4,75673155.0,75673355.0
3692,ENSG00000138759,-2.438,-1.275,4,78057503.0,78057703.0
3694,ENSG00000138769,-1.42,-1.502,4,75630360.0,75630560.0
3696,ENSG00000138794,-0.529,0.641,4,109703330.0,109703530.0
3698,ENSG00000138801,0.579,1.385,4,107720132.0,107720332.0
3700,ENSG00000138802,0.857,2.033,4,109433684.0,109433884.0
3702,ENSG00000138835,0.963,-1.037,9,113463600.0,113463800.0
3704,ENSG00000138942,2.305,2.311,22,31160064.0,31160264.0
3706,ENSG00000138944,-2.305,-1.588,22,44312713.0,44312913.0
3708,ENSG00000138964,-0.149,-2.036,22,44172851.0,44173051.0
3710,ENSG00000139053,-1.014,-0.582,12,14972934.0,14973134.0
3712,ENSG00000139116,0.636,0.635,12,39443032.0,39443232.0
3714,ENSG00000139131,1.337,1.687,12,32755856.0,32756056.0
3716,ENSG00000139133,0.933,1.446,12,34022285.0,34022485.0
3718,ENSG00000139182,2.179,1.866,12,7130254.0,7130454.0
3720,ENSG00000139190,-0.641,-0.376,12,6470545.0,6470745.0
3722,ENSG00000139194,-0.903,-1.496,12,7128788.0,7128988.0
3724,ENSG00000139219,-0.756,-1.281,12,48004375.0,48004575.0
3726,ENSG00000139233,1.672,1.82,12,66130700.0,66130900.0
3728,ENSG00000139263,-2.022,-1.324,12,58920209.0,58920409.0
3730,ENSG00000139291,-0.861,-1.289,12,71685986.0,71686186.0
3732,ENSG00000139292,-0.25,-0.034,12,71439610.0,71439810.0
3734,ENSG00000139352,-1.745,-0.821,12,102957821.0,102958021.0
3736,ENSG00000139354,0.6,-0.229,12,100573552.0,100573752.0
3738,ENSG00000139410,0.011,0.423,12,113422235.0,113422435.0
3740,ENSG00000139445,-1.365,-1.727,12,109309123.0,109309323.0
3742,ENSG00000139508,-2.074,-1.852,13,28718507.0,28718707.0
3744,ENSG00000139531,-0.158,0.096,12,55997187.0,55997387.0
3746,ENSG00000139537,-0.097,-0.292,12,48904007.0,48904207.0
3748,ENSG00000139546,1.59,1.118,12,53500766.0,53500966.0
3750,ENSG00000139567,-0.832,-0.011,12,51906847.0,51907047.0
3752,ENSG00000139597,-0.144,0.244,13,32428026.0,32428226.0
